ambit_key,ambit_label,varietat,sup_acum,n_reg_acum,sup_2024,ordre_ambit,rank_sup,rank_reg,is_top12_chart,is_top5_sup,is_top5_reg
PRIORAT,PRIORAT,Cabernet franc,0.6685887843038627,3.0,0.0,2,18,18,False,False,False
PRIORAT,PRIORAT,Xarel.lo rosat,0.4763089559039732,2.0,0.4763089559039732,2,19,20,False,False,False
PRIORAT,PRIORAT,Malvasia blanca,0.2482962354107601,3.0,0.2482962354107601,2,20,19,False,False,False
ALT CAMP,ALT CAMP,"Parellada, Montonega, Montonec",4232.9110489004,2273.0,49.55481425299323,3,1,1,True,True,True
ALT CAMP,ALT CAMP,"Macabeu, Viura",2125.6206976203944,1840.0,23.196725505244267,3,2,2,True,True,True
ALT CAMP,ALT CAMP,"Xarel.lo, Pansa blanca, Pansal, Cartoixà",600.4763593486139,735.0,9.123978607430342,3,3,3,True,True,True
ALT CAMP,ALT CAMP,"Moscatell de Alexandria, Moscatell de Màlaga, Moscatell Romà",139.15401046734087,84.0,0.0,3,4,5,True,True,True
ALT CAMP,ALT CAMP,Chardonnay,115.50321300030032,82.0,39.47559754672733,3,5,6,True,True,False
ALT CAMP,ALT CAMP,"Garnatxa negra, Lledoner",105.10958984178008,120.0,2.776155272854762,3,6,4,True,False,True
ALT CAMP,ALT CAMP,"Ull de llebre, Tempranillo, Cencibel, Tinto fino, Tinta de Toro, Tinta del País",102.04492216742808,32.0,0.0,3,7,11,True,False,False
ALT CAMP,ALT CAMP,"Garnatxa blanca, Lledoner blanc",100.58587299072263,59.0,1.091758657706971,3,8,7,True,False,False
ALT CAMP,ALT CAMP,Pinot noir,51.53478766029973,24.0,0.0,3,9,12,True,False,False
ALT CAMP,ALT CAMP,"Monastrell, Garrut, Mourvedre, Mataró",43.037067281799175,43.0,3.1971249298140973,3,10,9,True,False,False
ALT CAMP,ALT CAMP,Trepat,35.29478725148485,35.0,3.615567820434372,3,11,10,True,False,False
ALT CAMP,ALT CAMP,"Moscatell de gra petit, Moscatell de gra menut, Muscat de Frontignan",22.57026835421056,45.0,0.0,3,12,8,True,False,False
ALT CAMP,ALT CAMP,"Malvasia de Sitges, Malvasia grossa, Malvasia aromàtica",7.273330400810519,20.0,0.0065559276480935,3,13,13,False,False,False
ALT CAMP,ALT CAMP,Xarel.lo rosat,5.83349509142826,13.0,0.9929681370015327,3,14,14,False,False,False
ALT CAMP,ALT CAMP,Tarragoní,0.3549995555483606,1.0,0.3549995555483606,3,15,15,False,False,False
TERRA ALTA,TERRA ALTA,"Garnatxa blanca, Lledoner blanc",2599.0118862560694,2849.0,171.1361412569823,4,1,1,True,True,True
TERRA ALTA,TERRA ALTA,"Garnatxa negra, Lledoner",2445.107913744884,2102.0,143.90818925204462,4,2,2,True,True,True
TERRA ALTA,TERRA ALTA,"Macabeu, Viura",1781.8118084515538,1825.0,34.866653148095494,4,3,3,True,True,True
TERRA ALTA,TERRA ALTA,Syrah,536.703733648332,466.0,0.7553922797772905,4,4,4,True,True,True
TERRA ALTA,TERRA ALTA,"Cariñena, Mazuela, Samsó",479.0710921723445,419.0,0.7747555054368602,4,5,7,True,True,False
TERRA ALTA,TERRA ALTA,"Moscatell de Alexandria, Moscatell de Màlaga, Moscatell Romà",409.0118805010613,450.0,1.44699043057137,4,6,5,True,False,True
TERRA ALTA,TERRA ALTA,"Parellada, Montonega, Montonec",401.9587140655111,437.0,1.4073036308097204,4,7,6,True,False,False
TERRA ALTA,TERRA ALTA,"Garnatxa peluda, Lledoner pelut",225.44858297430292,178.0,15.645035792854577,4,8,8,True,False,False
TERRA ALTA,TERRA ALTA,"Garnatxa tintorera, alicant H Bouschet",199.43738361513343,92.0,0.0,4,9,10,True,False,False
TERRA ALTA,TERRA ALTA,Chardonnay,176.3629427326956,147.0,28.140476689606363,4,10,9,True,False,False
TERRA ALTA,TERRA ALTA,Sauvignon blanc,122.56596742265968,58.0,0.0,4,11,14,True,False,False
TERRA ALTA,TERRA ALTA,Cabernet Sauvignon,110.47295883411569,74.0,0.0,4,12,12,True,False,False
TERRA ALTA,TERRA ALTA,"Ull de llebre, Tempranillo, Cencibel, Tinto fino, Tinta de Toro, Tinta del País",47.64426701646242,87.0,0.0,4,13,11,False,False,False
TERRA ALTA,TERRA ALTA,Morenillo,43.35475634269059,63.0,0.4855586911341973,4,14,13,False,False,False
TERRA ALTA,TERRA ALTA,Cabernet franc,26.03100552193484,20.0,0.0,4,15,16,False,False,False
TERRA ALTA,TERRA ALTA,"Chenin, Agudelo",17.107434754704265,18.0,0.0,4,16,17,False,False,False
TERRA ALTA,TERRA ALTA,Merlot,16.161534914907335,30.0,0.0,4,17,15,False,False,False
TERRA ALTA,TERRA ALTA,Verdejo,1.0929291128074323,2.0,0.8560182946600747,4,18,18,False,False,False
TERRA ALTA,TERRA ALTA,Escanyavella,0.2125178251586172,1.0,0.2125178251586172,4,19,19,False,False,False
CONCA DE BARBERA,CONCA DE BARBERÀ,"Macabeu, Viura",470.7779236541662,591.0,38.219540005349565,5,1,1,True,True,True
CONCA DE BARBERA,CONCA DE BARBERÀ,Trepat,407.4059585214394,517.0,19.12994130193493,5,2,2,True,True,True
CONCA DE BARBERA,CONCA DE BARBERÀ,"Parellada, Montonega, Montonec",308.5871819873741,312.0,14.50996396673523,5,3,3,True,True,True
CONCA DE BARBERA,CONCA DE BARBERÀ,Cabernet Sauvignon,80.78266861421153,34.0,1.108545555617963,5,4,5,True,True,True
CONCA DE BARBERA,CONCA DE BARBERÀ,"Garnatxa blanca, Lledoner blanc",62.343146379200206,46.0,1.7234940397233158,5,5,4,True,True,True
CONCA DE BARBERA,CONCA DE BARBERÀ,Pinot noir,24.211089487613776,9.0,0.0,5,6,7,True,False,False
CONCA DE BARBERA,CONCA DE BARBERÀ,"Xarel.lo, Pansa blanca, Pansal, Cartoixà",11.676494797455684,15.0,5.712673240234369,5,7,6,True,False,False
CONCA DE BARBERA,CONCA DE BARBERÀ,Parrella,2.3354146094187467,1.0,2.3354146094187467,5,8,9,True,False,False
CONCA DE BARBERA,CONCA DE BARBERÀ,Vinyater,1.5978815043349903,3.0,1.5978815043349903,5,9,8,True,False,False
CONCA DE BARBERA,CONCA DE BARBERÀ,Xarel.lo rosat,0.3891083608762814,1.0,0.3891083608762814,5,10,10,True,False,False
