COMARCA,VARIETAT,n_reg_2008,sup_2008,quota_reg_2008,quota_sup_2008,n_reg_2024,sup_2024,quota_reg_2024,quota_sup_2024,delta_n_reg,delta_sup_ha,delta_quota_reg_pp,delta_quota_sup_pp,n_reg_acum_2008_2024,sup_registral_acum_2008_2024_ha,n_campanyes_actives_2008_2024,campanya_primera,campanya_darrera,sup_registral_mitjana_campanya_activa_ha
BAIX EMPORDÀ,"Garnatxa negra,Lledoner",0.0,0.0,0.0,0.0,3.0,0.2881984935888957,0.3333333333333333,0.0406629918153271,3.0,0.2881984935888957,33.33333333333333,4.06629918153271,47,81.65810978185033,12,2009,2024,6.80484248182086
BAIX EMPORDÀ,Marselan,0.0,0.0,0.0,0.0,1.0,0.1870360763439574,0.1111111111111111,0.0263896120581189,1.0,0.1870360763439574,11.11111111111111,2.63896120581189,1,0.1870360763439574,1,2024,2024,0.1870360763439574
BAIX LLOBREGAT,"Macabeu,Viura",1.0,0.011486324474729,1.0,1.0,5.0,1.5045862671604535,0.4166666666666667,0.113653341451446,4.0,1.4930999426857245,-58.33333333333333,-88.6346658548554,21,10.794922258804187,8,2008,2024,1.3493652823505233
BAIX LLOBREGAT,Negrelló,0.0,0.0,0.0,0.0,1.0,0.1398301659916873,0.0833333333333333,0.0105624821570771,1.0,0.1398301659916873,8.33333333333333,1.05624821570771,1,0.1398301659916873,1,2024,2024,0.1398301659916873
BAIX LLOBREGAT,"Xarel.lo,Pansa blanca,Pansal,Cartoixà",0.0,0.0,0.0,0.0,6.0,11.59396484051441,0.5,0.8757841763914768,6.0,11.59396484051441,50.0,87.57841763914767,149,3410.724638305589,16,2009,2024,213.1702898940993
BAIX PENEDÈS,"Carinyena blanca, Carignan blanc",0.0,0.0,0.0,0.0,5.0,6.06238109028326,0.0641025641025641,0.0853995234073769,5.0,6.06238109028326,6.41025641025641,8.53995234073769,7,6.068060475400201,2,2021,2024,3.0340302377001005
BAIX PENEDÈS,Gewürztraminer,0.0,0.0,0.0,0.0,1.0,0.943789000281424,0.0128205128205128,0.0132949627581713,1.0,0.943789000281424,1.28205128205128,1.32949627581713,1,0.943789000281424,1,2024,2024,0.943789000281424
BAIX PENEDÈS,"Macabeu,Viura",11.0,11.729299337309666,0.2037037037037037,0.3050388664355455,7.0,6.768577372503643,0.0897435897435897,0.0953475661047165,-4.0,-4.960721964806023,-11.3960113960114,-20.9691300330829,330,455.7657910733037,17,2008,2024,26.80975241607669
BAIX PENEDÈS,"Malvasia de Sitges,Malvasia grossa,Malvasia aromàtica",0.0,0.0,0.0,0.0,1.0,0.2258600533777607,0.0128205128205128,0.0031816444113255,1.0,0.2258600533777607,1.28205128205128,0.31816444113255,39,15.70113643052117,10,2010,2024,1.570113643052117
BAIX PENEDÈS,"Moscatell de gra petit,Moscatell de gra menut,Muscat de Frontignan",0.0,0.0,0.0,0.0,1.0,0.3749737441797244,0.0128205128205128,0.0052821784982395,1.0,0.3749737441797244,1.28205128205128,0.52821784982395,13,37.933367928635604,5,2011,2024,7.586673585727121
BAIX PENEDÈS,"Parellada,Montonega,Montonec",17.0,16.043974353634173,0.3148148148148148,0.4172487724297495,9.0,5.625225306492071,0.1153846153846153,0.0792413992257112,-8.0,-10.418749047142102,-19.94301994301995,-33.800737320403826,489,669.0339803943576,17,2008,2024,39.35494002319751
